term_id,lang,term,reltype,related_term_id,related_lang,related_term,position,group_tag,parent_tag,parent_position
1,en,coffee,borrowed_from,101,ar,qahwah,0,,,
2,en,karaoke,borrowed_from,102,ja,karaoke,0,,,
3,en,pizza,borrowed_from,103,it,pizza,0,,,
4,en,robot,borrowed_from,104,cs,robot,0,,,
5,en,tsunami,borrowed_from,105,ja,tsunami,0,,,
6,en,jungle,borrowed_from,106,hi,jangal,0,,,
7,en,ballet,borrowed_from,107,fr,ballet,0,,,
8,en,yogurt,borrowed_from,108,tr,yogurt,0,,,
9,en,safari,borrowed_from,109,sw,safari,0,,,
10,en,elapse,borrowed_from,110,frm,elapser,0,,,
11,frm,elapser,derived_from,111,la,elapsus,0,,,
12,en,samovar,borrowed_from,112,ru,samovar,0,,,
13,en,kiosk,borrowed_from,113,tr,kiosk,0,,,
14,en,geyser,borrowed_from,114,is,geysir,0,,,
15,en,paparazzi,borrowed_from,115,it,paparazzo,0,,,
16,en,tycoon,borrowed_from,116,ja,taikun,0,,,
17,en,boondocks,borrowed_from,117,tl,bundok,0,,,
18,en,rickshaw,borrowed_from,118,ja,jinrikisha,0,,,
19,en,typhoon,borrowed_from,119,yue,taai fung,0,,,
20,en,tea,borrowed_from,120,nl,thee,0,,,
21,nl,thee,borrowed_from,121,nan,te,0,,,
22,en,caravan,borrowed_from,122,fa,karvan,0,,,
23,en,serendipity,borrowed_from,123,fa,serendip,0,,,
24,en,window,borrowed_from,124,non,vindauga,0,,,
25,en,they,borrowed_from,125,non,their,0,,,
26,en,guru,borrowed_from,126,hi,guru,0,,,
27,en,tattoo,borrowed_from,127,ty,tatau,0,,,
28,en,taboo,borrowed_from,128,to,tabu,0,,,
29,en,mammoth,borrowed_from,129,ru,mammut,0,,,
30,en,orange,borrowed_from,130,sa,aranga,0,,,
31,en,malaria,borrowed_from,131,it,mal aria,0,,,
32,en,juggernaut,borrowed_from,132,sa,jagannatha,0,,
